time,Mbol,u_lsst,g_lsst,r_lsst,i_lsst,z_lsst,Y_lsst,
1.776956958E9,-1.383750052,-0.0584065961255187,-1.30164074553336,-1.51077367636888,-1.50493743163407,-1.45783273530043,-1.45243752575377,0.97997
1.77695717E9,-1.383261478,-0.0568735664214386,-1.30044297443432,-1.51035404129022,-1.50494044806196,-1.4580286469501,-1.45263186979175,0.97997
1.776957381E9,-1.382631056,-0.0551314649495294,-1.29905360463581,-1.50979641444472,-1.50483476261946,-1.45812823900962,-1.45272928704631,0.97997
1.776957593E9,-1.381892178,-0.0532305059964242,-1.29751836784613,-1.50913321329396,-1.50464552088581,-1.45815352214488,-1.45275192161301,0.97997
1.776957805E9,-1.381017408,-0.0511296800789505,-1.29579983867835,-1.50833778627728,-1.50435195626879,-1.45808624283448,-1.45268140601473,0.97997
1.776958016E9,-1.38026567,-0.0492174049609544,-1.29425207400577,-1.50766156199553,-1.50414944245635,-1.4580977272928,-1.45269012303296,0.97997
1.776958228E9,-1.379357554,-0.0470747967568115,-1.2924931742479,-1.50683320095874,-1.50382702791819,-1.45800291905009,-1.45259187436848,0.97997
1.77695844E9,-1.378262533,-0.0446561880718896,-1.29048146801051,-1.5058230517978,-1.50336162680665,-1.45778153014913,-1.45236624399137,0.97997
1.776958651E9,-1.377053474,-0.0420709690583108,-1.28831664403591,-1.50470186680289,-1.50280818670897,-1.45748172114528,-1.45206168859258,0.97997
1.776958863E9,-1.375807365,-0.0394347121298819,-1.28610403424657,-1.50354439958809,-1.50222475983092,-1.45715438318526,-1.45172941445522,0.97997
1.776959075E9,-1.37448235,-0.0366847475641494,-1.28378647588981,-1.50230999797616,-1.50157971225707,-1.45677173961181,-1.45134147204931,0.97997
1.776959286E9,-1.373193544,-0.0339938182577926,-1.2815214332302,-1.501110439915,-1.50095986867521,-1.4564099324736,-1.45097447784592,0.97997
1.776959498E9,-1.371911204,-0.0311720297893998,-1.27937349008542,-1.49986682136073,-1.50020911880711,-1.4559060077778,-1.45050683205807,0.97997
1.77695971E9,-1.37053713,-0.0281693177671534,-1.27713822345613,-1.49851715339502,-1.49934252675205,-1.45529056040039,-1.44994103292934,0.97997
1.776959922E9,-1.369221825,-0.0252644969197693,-1.2749831671332,-1.49722580361715,-1.49852230994161,-1.45471535695698,-1.44941435446739,0.97997
1.776960133E9,-1.367759232,-0.0221343178074966,-1.27263693747824,-1.49578775680736,-1.49757982017107,-1.45402986656069,-1.4487794865967,0.97997
1.776960345E9,-1.36614491,-0.0187719122523373,-1.27009373180684,-1.49419859008248,-1.49651139333417,-1.45323079478561,-1.4480332000654,0.97997
1.776960557E9,-1.364427927,-0.0152543918778525,-1.26741824104211,-1.4925071192733,-1.49535714808008,-1.45235392196636,-1.44721050315852,0.97997
1.776960768E9,-1.36274853,-0.0118019713488491,-1.26479528096089,-1.49085288065096,-1.49423180730944,-1.45150161476651,-1.4464115646626,0.97997
1.77696098E9,-1.361080743,-0.00837400936430233,-1.26219069555766,-1.48921002784532,-1.49311407770951,-1.45065484836056,-1.44561776239969,0.97997
1.776961192E9,-1.359391782,-0.00491917053371016,-1.25956135384689,-1.48754594023508,-1.49197709856387,-1.44978962905759,-1.44480561180365,0.97997
1.776961403E9,-1.357663218,-0.00140863580742456,-1.25688302937148,-1.48584227958176,-1.49080575893747,-1.4488924508993,-1.44396189171946,0.97997
1.776961615E9,-1.35594103,0.00208533953871837,-1.25421634478515,-1.48414479219431,-1.48963765136412,-1.44799685009567,-1.44311941646759,0.97997
1.776961827E9,-1.354250503,0.00552298667500661,-1.2515946564436,-1.48247863540859,-1.48849343830679,-1.44712125563859,-1.44229621734641,0.97997
1.776962038E9,-1.352402541,0.00920102345280061,-1.24876886511996,-1.48065565993977,-1.48721837970867,-1.44612753883277,-1.44135711932628,0.97997
1.77696225E9,-1.350585444,0.012823847160331,-1.24598708923663,-1.47886322061438,-1.48596652335375,-1.4451531861458,-1.44043666332379,0.97997
1.776962462E9,-1.348690303,0.0165623297434363,-1.24310587069437,-1.47699295246838,-1.4846487411525,-1.44411863164361,-1.43945698351525,0.97997
1.776962673E9,-1.346754784,0.0203572830044676,-1.24017487082632,-1.47508233150508,-1.48329582972299,-1.44305135076721,-1.43844496431566,0.97997
1.776962885E9,-1.344856634,0.0240865969290931,-1.23729656778674,-1.47320871553055,-1.48197137510294,-1.44200808807315,-1.43745613308644,0.97997
1.776963097E9,-1.342768467,0.0281071104764008,-1.23417139303707,-1.47114585098324,-1.48048931781312,-1.44082274863621,-1.43632794510756,0.97997
1.776963308E9,-1.340687241,0.0321096031701367,-1.23105889431565,-1.46908971212787,-1.47901077918298,-1.43963914016368,-1.43520112850869,0.97997
1.77696352E9,-1.338588795,0.0361319358182866,-1.2279272693042,-1.46701625764939,-1.47751597240006,-1.43843958989471,-1.43405838612707,0.97997
1.776963732E9,-1.336518377,0.0401030233171862,-1.22483617083409,-1.46497051021014,-1.4760418978564,-1.43725711737664,-1.43293202915734,0.97997
1.776963943E9,-1.334633694,0.0437752427951059,-1.22199344387158,-1.4631093944875,-1.47471755800506,-1.43620687209495,-1.43193474283885,0.97997
1.776964155E9,-1.332538726,0.0477701872077281,-1.21887728178033,-1.46103885540933,-1.47321894598434,-1.43499961219503,-1.43078346817704,0.97997
1.776964367E9,-1.330453581,0.0517422811865396,-1.21577775301197,-1.4589779076504,-1.47172611606378,-1.43379605682589,-1.42963548506497,0.97997
1.776964578E9,-1.328253648,0.055887077337841,-1.21253068294954,-1.45680255616208,-1.47013710604676,-1.43250517344158,-1.42840170456297,0.97997
1.77696479E9,-1.32603251,0.0600576070370016,-1.20925942165474,-1.45460591936262,-1.46852845658489,-1.43119527843724,-1.42714897990728,0.97997
1.776965002E9,-1.32384924,0.0641610725144932,-1.20604184739477,-1.45244677794063,-1.46694847458768,-1.42990948680824,-1.42591950225826,0.97997
